ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,ACS Occupation yg RCA,City,ID Geography,Slug Geography,Median Earnings,Median Earnings Moe,Workforce Prev,Workforce Growth,Median Earnings Prev,Median Earnings Growth,Share
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",22,Production Occupations,2020,2020,04000US37,North Carolina,18555,1199.5332425572874,0.706354505,Charlotte,16000US3712000,charlotte-nc,58989,4835,18356,1.084114186097189,56916,3.642209572000844,3.943341692523484
4,"Production, Transportation, & Material Moving Occupations",8,"Production, Transportation, & Material Moving Occupations",23,Transportation Occupations,2020,2020,04000US37,North Carolina,17619,1511.2511373031289,0.9838004927539927,Charlotte,16000US3712000,charlotte-nc,67059,4593,16951,3.940770456020294,63258,6.0087261690221005,3.744421303183576
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",0,Management Occupations,2019,2019,04000US37,North Carolina,55831,1639.261114038883,1.1890974999509996,Charlotte,16000US3712000,charlotte-nc,147267,6184,52150,7.058485139022051,147258,0.006111722,12.141766668261472
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,Business & Financial Operations Occupations,2019,2019,04000US37,North Carolina,41223,1601.2726188878644,1.6731579321729877,Charlotte,16000US3712000,charlotte-nc,138418,5426,39735,3.7448093620234055,136006,1.7734511712718555,8.964912814847354
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,Computer & Mathematical Occupations,2019,2019,04000US37,North Carolina,23130,1021.5214143619311,1.6088209023090514,Charlotte,16000US3712000,charlotte-nc,157013,5656,20874,10.807703363035355,155889,0.7210258581426529,5.030163583616411
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,Architecture & Engineering Occupations,2019,2019,04000US37,North Carolina,7911,599.4005338669629,0.9040897965524368,Charlotte,16000US3712000,charlotte-nc,138491,12227,7460,6.045576407506703,145440,-4.777915292,1.7204333813225003
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2019,2019,04000US37,North Carolina,2430,322.44069222106566,0.5526511731801939,Charlotte,16000US3712000,charlotte-nc,136150,20265,2542,-4.405979544,122651,11.00602522604789,0.5284607655939421
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,Community & Social Service Occupations,2019,2019,04000US37,North Carolina,7111,582.6087881245871,0.884063245,Charlotte,16000US3712000,charlotte-nc,86127,5874,7598,-6.409581469,85347,0.9139161306197053,1.5464545284520668
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,Legal Occupations,2019,2019,04000US37,North Carolina,5908,469.4645887,1.1584099158548455,Charlotte,16000US3712000,charlotte-nc,201471,50618,5954,-0.772589856,212857,-5.349131107,1.284833828448152
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2019,2019,04000US37,North Carolina,23578,1235.8616427416137,0.8461743510211858,Charlotte,16000US3712000,charlotte-nc,81187,4560,23233,1.4849567425644556,80261,1.1537359365071453,5.127591741223854
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2019,2019,04000US37,North Carolina,10052,685.0525527286209,1.0810074842007509,Charlotte,16000US3712000,charlotte-nc,86939,7231,9908,1.4533710133225677,87357,-0.478496285,2.186044286316998
0,"Management, Business, Science, & Arts Occupations",3,Healthcare Practitioners & Technical Occupations,9,Health Diagnosing & Treating Practitioners & Other Technical Occupations,2019,2019,04000US37,North Carolina,15205,887.8721754847371,0.8106692775185443,Charlotte,16000US3712000,charlotte-nc,189138,26957,14528,4.659966960352422,189475,-0.177859876,3.3066855723686785
0,"Management, Business, Science, & Arts Occupations",3,Healthcare Practitioners & Technical Occupations,10,Health Technologists & Technicians,2019,2019,04000US37,North Carolina,5516,581.7258805,0.6160408586968451,Charlotte,16000US3712000,charlotte-nc,86126,13477,5360,2.9104477611940296,81930,5.121445136091786,1.1995841905416396
1,Service Occupations,4,Service Occupations,11,Healthcare Support Occupations,2019,2019,04000US37,North Carolina,10753,855.1643116968809,0.7158594860942409,Charlotte,16000US3712000,charlotte-nc,50778,8136,10446,2.938923990044036,48889,3.863854855,2.338493256144716
1,Service Occupations,4,Service Occupations,14,Food Preparation & Serving Related Occupations,2019,2019,04000US37,North Carolina,26935,1397.6551792198245,1.022046405,Charlotte,16000US3712000,charlotte-nc,35471,2468,27327,-1.434478721,33279,6.586736380299889,5.857650502581412
1,Service Occupations,4,Service Occupations,15,Building & Grounds Cleaning & Maintenance Occupations,2019,2019,04000US37,North Carolina,16330,1017.6919966276632,0.9317243724016288,Charlotte,16000US3712000,charlotte-nc,38476,2439,16186,0.8896577289015198,36769,4.642497756262069,3.5513433342177256
