ID Gender,Gender,ID Industry Group,Industry Group,ID Year,Year,Median Earnings by Industry and Gender,Median Earnings by Industry and Gender Moe,Geography,ID Geography,Slug Geography
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2016,"2016",33445,986,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2016,"2016",15476,616,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2016,"2016",19531,1170,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2016,"2016",45083,2585,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2015,"2015",42404,33536,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2015,"2015",26683,1092,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2015,"2015",47507,3177,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2015,"2015",44712,2477,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2015,"2015",26765,1266,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2015,"2015",41040,1523,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2015,"2015",46921,5844,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2015,"2015",80631,3181,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2015,"2015",53893,2683,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2015,"2015",39698,1741,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2015,"2015",19417,1100,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2015,"2015",29589,2265,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2015,"2015",49719,2690,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2015,"2015",13750,16525,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2015,"2015",28977,7001,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2015,"2015",32297,2819,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2015,"2015",38832,3058,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2015,"2015",20102,967,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2015,"2015",39002,4145,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2015,"2015",43669,3789,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2015,"2015",50211,2124,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2015,"2015",31598,1450,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2015,"2015",32528,1019,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2015,"2015",14463,956,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2015,"2015",19021,1320,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2015,"2015",45296,3489,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2014,"2014",49954,27272,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2014,"2014",25582,1028,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2014,"2014",46670,2604,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2014,"2014",44741,2693,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2014,"2014",28510,2105,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2014,"2014",41806,1641,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2014,"2014",50045,8190,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2014,"2014",78397,4672,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2014,"2014",53135,2360,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2014,"2014",40090,2099,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2014,"2014",18782,1450,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",13,"Other Services Except Public Administration",2014,"2014",29335,3271,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",14,"Public Administration",2014,"2014",48880,1926,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2014,"2014",14044,33344,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",2,"Construction",2014,"2014",33873,6430,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",3,"Manufacturing",2014,"2014",33722,2793,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",4,"Wholesale Trade",2014,"2014",37961,2839,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",5,"Retail Trade",2014,"2014",20511,1231,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",6,"Transportation & Warehousing, & Utilities",2014,"2014",39401,3088,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",7,"Information",2014,"2014",43992,4390,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2014,"2014",49269,2283,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2014,"2014",32869,2112,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",10,"Educational Services, & Health Care & Social Assistance",2014,"2014",32444,746,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2014,"2014",14460,963,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",13,"Other Services Except Public Administration",2014,"2014",20252,1814,"Charlotte, NC","16000US3712000","charlotte-nc"
1,"Female",14,"Public Administration",2014,"2014",46130,2657,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",1,"Agriculture, Forestry, Fishing & Hunting, & Mining",2013,"2013",36016,13413,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",2,"Construction",2013,"2013",25326,912,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",3,"Manufacturing",2013,"2013",47662,3022,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",4,"Wholesale Trade",2013,"2013",44887,2623,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",5,"Retail Trade",2013,"2013",27439,2287,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",6,"Transportation & Warehousing, & Utilities",2013,"2013",41548,1634,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",7,"Information",2013,"2013",52022,6914,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",8,"Finance & Insurance, & Real Estate & Rental & Leasing",2013,"2013",74945,3888,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",9,"Professional, Scientific, & Management, & Administrative & Waste Management Services",2013,"2013",52354,1931,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",10,"Educational Services, & Health Care & Social Assistance",2013,"2013",40694,1830,"Charlotte, NC","16000US3712000","charlotte-nc"
0,"Male",11,"Arts, Entertainment, & Recreation, & Accommodations & Food Services",2013,"2013",19459,1369,"Charlotte, NC","16000US3712000","charlotte-nc"
