EVENT_TYPE,date,BEGIN_DATETIME,END_DATETIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,time_diff,EVENT_TYPE_col,date,weather_id
Thunderstorm Wind,2011-06-28,2011-06-28 16:52:00,2011-06-28 17:35:31.875,35.2,-80.81,35.2,-80.81,0 days 00:43:31.875000,Thunderstorm Wind,2011-06-28,74
Thunderstorm Wind,2011-07-04,2011-07-04 16:40:00,2011-07-04 17:23:31.875,35.18,-80.81,35.18,-80.81,0 days 00:43:31.875000,Thunderstorm Wind,2011-07-04,75
Thunderstorm Wind,2011-07-13,2011-07-13 16:05:00,2011-07-13 16:12:00.000,35.26,-80.9,35.26,-80.9,0 days 00:07:00,Thunderstorm Wind,2011-07-13,76
Thunderstorm Wind,2011-08-08,2011-08-08 18:50:00,2011-08-08 19:15:00.000,35.2,-80.86,35.225,-80.582,0 days 00:25:00,Thunderstorm Wind,2011-08-08,77
Thunderstorm Wind,2011-08-11,2011-08-11 15:04:00,2011-08-11 16:46:00.000,35.3564,-80.8724,35.3472,-80.8608,0 days 01:42:00,Thunderstorm Wind,2011-08-11,78
Thunderstorm Wind,2011-09-02,2011-09-02 17:40:00,2011-09-02 18:44:00.000,35.29,-80.8075,35.29,-80.8075,0 days 01:04:00,Thunderstorm Wind,2011-09-02,79
Thunderstorm Wind,2011-09-05,2011-09-05 18:00:00,2011-09-05 18:43:31.875,35.25,-80.91,35.25,-80.91,0 days 00:43:31.875000,Thunderstorm Wind,2011-09-05,80
Thunderstorm Wind,2011-09-27,2011-09-27 19:58:00,2011-09-27 20:41:31.875,35.2,-80.73,35.2,-80.73,0 days 00:43:31.875000,Thunderstorm Wind,2011-09-27,81
Thunderstorm Wind,2012-07-01,2012-07-01 17:21:00,2012-07-01 17:40:00.000,35.32,-80.8,35.18,-80.655,0 days 00:19:00,Thunderstorm Wind,2012-07-01,82
Thunderstorm Wind,2012-07-08,2012-07-08 14:35:00,2012-07-08 15:18:31.875,35.09,-80.85,35.09,-80.85,0 days 00:43:31.875000,Thunderstorm Wind,2012-07-08,83
